-64260, 36019, 4274126, 1, 0
-64260, 36019, 4274164, 1, 0
-77400, 36019, 4274250, 1, 0
-69660, 36019, 4274336, 1, 0
-73080, 36019, 4274423, 1, 0
-69480, 36019, 4274509, 1, 0
-74700, 36019, 4274596, 1, 0
-75240, 36019, 4274682, 1, 0
-77040, 36019, 4274768, 1, 0
-72180, 36019, 4274855, 1, 0
-68580, 36019, 4274941, 1, 0
-67500, 36019, 4275028, 1, 0
-73980, 36019, 4275114, 1, 0
-71100, 36019, 4275200, 1, 0
-72720, 36019, 4275287, 1, 0
-69300, 36019, 4275373, 1, 0
-64800, 36019, 4275459, 1, 0
-72180, 36019, 4275546, 1, 0
-73440, 36019, 4275632, 1, 0
-77760, 36019, 4275718, 1, 0
-76140, 36019, 4275805, 1, 0
-72360, 36019, 4275891, 1, 0
-74340, 36019, 4275978, 1, 0
-65700, 36019, 4276064, 1, 0
-62820, 36019, 4276150, 1, 0
-67860, 36019, 4276237, 1, 0
-70740, 36019, 4276323, 1, 0
-69840, 36019, 4276409, 1, 0
-65700, 36019, 4276496, 1, 0
-58860, 36019, 4276582, 1, 0
-68580, 36019, 4276668, 1, 0
-64440, 36019, 4276755, 1, 0
-71460, 36019, 4276841, 1, 0
-71100, 36019, 4276927, 1, 0
-61380, 36019, 4277014, 1, 0
-70200, 36019, 4277100, 1, 0
-74520, 36019, 4277187, 1, 0
-64260, 36019, 4277273, 1, 0
-66060, 36019, 4277359, 1, 0
-61380, 36019, 4277446, 1, 0
-64440, 36019, 4277532, 1, 0
-67140, 36019, 4277618, 1, 0
-63720, 36019, 4277705, 1, 0
-67140, 36019, 4277791, 1, 0
-62640, 36019, 4277877, 1, 0
-62820, 36019, 4277964, 1, 0
-62820, 36019, 4278050, 1, 0
-63000, 36019, 4278137, 1, 0
-67680, 36019, 4278223, 1, 0
-65160, 36019, 4278309, 1, 0
-67320, 36019, 4278396, 1, 0
-67680, 36019, 4278482, 1, 0
-68400, 36019, 4278568, 1, 0
-66060, 36019, 4278655, 1, 0
-71100, 36019, 4278741, 1, 0
-61020, 36019, 4278827, 1, 0
-65160, 36019, 4278914, 1, 0
-66420, 36019, 4279000, 1, 0
-57420, 36019, 4279087, 1, 0
-63000, 36019, 4279173, 1, 0
-61740, 36019, 4279259, 1, 0
-63900, 36019, 4279346, 1, 0
-67140, 36019, 4279432, 1, 0
-61740, 36019, 4279518, 1, 0
-61380, 36019, 4279605, 1, 0
-64800, 36019, 4279691, 1, 0
-60660, 36019, 4279777, 1, 0
-66060, 36019, 4279864, 1, 0
-62640, 36019, 4279950, 1, 0
-65880, 36019, 4280037, 1, 0
-62100, 36019, 4280123, 1, 0
-61560, 36019, 4280209, 1, 0
-64620, 36019, 4280296, 1, 0
-55440, 36019, 4280382, 1, 0
-57960, 36019, 4280469, 1, 0
-59220, 36019, 4280555, 1, 0
-56700, 36019, 4280641, 1, 0
-64980, 36019, 4280728, 1, 0
-62460, 36019, 4280814, 1, 0
-63720, 36019, 4280900, 1, 0
-63720, 36019, 4280987, 1, 0
-63000, 36019, 4281073, 1, 0
-67860, 36019, 4281159, 1, 0
-63360, 36019, 4281246, 1, 0
-63540, 36019, 4281332, 1, 0
-63360, 36019, 4281419, 1, 0
-58680, 36019, 4281505, 1, 0
-60300, 36019, 4281591, 1, 0
-63900, 36019, 4281678, 1, 0
-57960, 36019, 4281764, 1, 0
-64620, 36019, 4281850, 1, 0
-54720, 36019, 4281937, 1, 0
-54360, 36019, 4282023, 1, 0
-61380, 36019, 4282109, 1, 0
-57240, 36019, 4282196, 1, 0
-59400, 36019, 4282282, 1, 0
-60840, 36019, 4282369, 1, 0
-63720, 36019, 4282455, 1, 0
-60300, 36019, 4282542, 1, 0
-53640, 36019, 4282628, 1, 0
-62100, 36019, 4282714, 1, 0
-66780, 36019, 4282801, 1, 0
-55440, 36019, 4282887, 1, 0
-63000, 36019, 4282973, 1, 0
-56340, 36019, 4283060, 1, 0
-47520, 36019, 4283146, 1, 0
-58860, 36019, 4283232, 1, 0
-59760, 36019, 4283319, 1, 0
-65700, 36019, 4283405, 1, 0
-66240, 36019, 4283492, 1, 0
-61380, 36019, 4283578, 1, 0
-60480, 36019, 4283664, 1, 0
-55260, 36019, 4283751, 1, 0
-53100, 36019, 4283837, 1, 0
-64800, 36019, 4283923, 1, 0
-59040, 36019, 4284010, 1, 0
-57780, 36019, 4284096, 1, 0
-53820, 36019, 4284182, 1, 0
-56700, 36019, 4284269, 1, 0
-53280, 36019, 4284355, 1, 0
-52560, 36019, 4284441, 1, 0
-49320, 36019, 4284528, 1, 0
-54900, 36019, 4284614, 1, 0
-50760, 36019, 4284701, 1, 0
-57960, 36019, 4284787, 1, 0
-58140, 36019, 4284874, 1, 0
-60300, 36019, 4284960, 1, 0
-55980, 36019, 4285046, 1, 0
-57780, 36019, 4285133, 1, 0
-68580, 36019, 4285219, 1, 0
-64260, 36019, 4285305, 1, 0
-61200, 36019, 4285392, 1, 0
-58860, 36019, 4285478, 1, 0
-52560, 36019, 4285564, 1, 0
-56700, 36019, 4285651, 1, 0
-57600, 36019, 4285737, 1, 0
-45360, 36019, 4285824, 1, 0
-55440, 36019, 4285910, 1, 0
-55440, 35902, 4285973, 0, 1
-63180, 35902, 4285996, 1, 0
