Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),0.x (),0.y (),0.z (),1.x (),1.y (),1.z (),2.x (),2.y (),2.z (),3.x (),3.y (),3.z ()
3893,1711653693077,-171943.0,-129116.0,-142678.0,86425.0,-292844.0,81009.0,6486573.0,166261.0,-39491.0,-26969.0,1648.0,959.0
3894,1711653693097,-181713.0,-94227.0,-154930.0,81394.0,-297329.0,81037.0,6713711.0,164567.0,-37421.0,-24406.0,940.0,2554.0
3895,1711653693117,-170538.0,-33070.0,-134541.0,86704.0,-278209.0,86474.0,6810684.0,166692.0,-42111.0,-26941.0,-155.0,1341.0
3896,1711653693137,-158220.0,-150908.0,-129283.0,95341.0,-317675.0,80882.0,6718840.0,165575.0,-41139.0,-23512.0,189.0,2508.0
3897,1711653693157,-166807.0,-117434.0,-142628.0,86971.0,-304045.0,87154.0,6765130.0,166283.0,-42499.0,-26057.0,1201.0,1704.0
3898,1711653693177,-176413.0,-160986.0,-129256.0,90837.0,-321126.0,83991.0,6884196.0,164694.0,-40648.0,-25538.0,2024.0,1342.0
3899,1711653693197,-183764.0,-145803.0,-126158.0,79790.0,-329068.0,88656.0,6738029.0,163741.0,-37549.0,-26047.0,1021.0,2467.0
3900,1711653693217,-173054.0,-127654.0,-144906.0,86977.0,-311791.0,83219.0,6781192.0,161348.0,-42340.0,-20719.0,2812.0,2604.0
3901,1711653693236,-177558.0,-72183.0,-142138.0,76488.0,-312799.0,80159.0,6910954.0,164545.0,-38563.0,-28452.0,1881.0,2058.0
3902,1711653693258,-175239.0,-133476.0,-145316.0,82614.0,-298558.0,85140.0,6720006.0,165702.0,-39249.0,-24393.0,-773.0,1006.0
3903,1711653693277,-139214.0,-85236.0,-139199.0,82561.0,-323953.0,83387.0,6739592.0,159039.0,-33871.0,-24114.0,1667.0,1508.0
3904,1711653693297,-181794.0,-80766.0,-139617.0,79415.0,-316120.0,88601.0,6643882.0,162840.0,-36951.0,-24423.0,486.0,2081.0
3905,1711653693317,-185509.0,-97343.0,-144881.0,78030.0,-318820.0,81537.0,6706640.0,163753.0,-40966.0,-23540.0,2495.0,208.0
3906,1711653693337,-166140.0,-74806.0,-138768.0,76770.0,-321858.0,87887.0,6666448.0,162863.0,-37359.0,-26984.0,1881.0,1707.0
3907,1711653693357,-163459.0,-115904.0,-131527.0,85652.0,-329462.0,81736.0,6838833.0,166823.0,-38846.0,-23744.0,1704.0,3563.0
3908,1711653693378,-177396.0,-67010.0,-142486.0,98624.0,-323056.0,83961.0,6723799.0,166655.0,-39706.0,-24551.0,1474.0,2855.0
3909,1711653693398,-181871.0,-98597.0,-145511.0,84305.0,-308057.0,84870.0,6813952.0,161733.0,-41037.0,-26314.0,-143.0,1064.0
3910,1711653693417,-165300.0,-94424.0,-131577.0,75322.0,-335879.0,82923.0,6988852.0,164953.0,-41867.0,-27107.0,1412.0,2100.0
3911,1711653693437,-165898.0,-144906.0,-128383.0,80243.0,-325738.0,86841.0,6673697.0,166031.0,-37303.0,-25932.0,850.0,1449.0
3912,1711653693458,-169824.0,-63199.0,-128688.0,78226.0,-308526.0,80798.0,6739737.0,166348.0,-40668.0,-26137.0,689.0,1179.0
3913,1711653693477,-173672.0,-98246.0,-130128.0,69536.0,-324971.0,85637.0,6797960.0,161609.0,-38418.0,-25821.0,1359.0,1999.0
3914,1711653693497,-162462.0,-161764.0,-125249.0,74163.0,-313162.0,82186.0,6764667.0,164930.0,-41717.0,-24970.0,1161.0,3166.0
3915,1711653693517,-169243.0,-124672.0,-124597.0,80370.0,-332758.0,78312.0,6539381.0,162624.0,-36137.0,-24387.0,1583.0,1992.0
3916,1711653693538,-177101.0,-136037.0,-149090.0,67993.0,-310854.0,79610.0,6664285.0,158291.0,-41217.0,-25346.0,1353.0,2688.0
3917,1711653693557,-175096.0,-108609.0,-140526.0,76194.0,-315334.0,88020.0,6882905.0,162755.0,-36489.0,-23526.0,1276.0,1509.0
3918,1711653693578,-165013.0,-144853.0,-138634.0,75327.0,-311012.0,83163.0,6735800.0,164107.0,-38539.0,-26404.0,1254.0,2194.0
3919,1711653693598,-166882.0,-98820.0,-147063.0,82052.0,-315639.0,76512.0,6708527.0,161472.0,-38908.0,-23772.0,1518.0,1102.0
3920,1711653693618,-159046.0,-157059.0,-139553.0,73130.0,-325104.0,74719.0,6707897.0,159871.0,-37583.0,-24806.0,1490.0,2070.0
3921,1711653693637,-159672.0,-55757.0,-138349.0,72466.0,-312349.0,79712.0,6729649.0,167810.0,-42030.0,-25759.0,621.0,2104.0
3922,1711653693657,-171335.0,-150918.0,-133157.0,83858.0,-305916.0,80683.0,6786041.0,165023.0,-39020.0,-21318.0,1099.0,1608.0
3923,1711653693677,-173087.0,-77507.0,-148449.0,77542.0,-300179.0,88033.0,6858916.0,165275.0,-39957.0,-26552.0,1961.0,1901.0
3924,1711653693697,-164256.0,-96114.0,-143538.0,70557.0,-309116.0,89255.0,6664084.0,162509.0,-35814.0,-23667.0,1182.0,3401.0
3925,1711653693717,-162993.0,-114073.0,-131890.0,78558.0,-306552.0,83678.0,6819084.0,159098.0,-37797.0,-26032.0,1648.0,354.0
3926,1711653693736,-169461.0,-89190.0,-132728.0,83716.0,-324139.0,85211.0,6439066.0,165547.0,-38945.0,-27866.0,875.0,1654.0
3927,1711653693757,-167673.0,-144307.0,-143237.0,79517.0,-303654.0,78722.0,6754709.0,164300.0,-41900.0,-25709.0,2027.0,1902.0
3928,1711653693777,-177800.0,-144106.0,-131679.0,79489.0,-326296.0,90785.0,6748480.0,167322.0,-36258.0,-24362.0,1778.0,2424.0
3929,1711653693797,-176387.0,-36553.0,-137555.0,77299.0,-294404.0,86829.0,6924692.0,161773.0,-36748.0,-26362.0,2015.0,1421.0
3930,1711653693817,-175391.0,-87011.0,-134932.0,81270.0,-304960.0,81434.0,6766424.0,164197.0,-40062.0,-22472.0,1018.0,2266.0
3931,1711653693837,-167928.0,-48799.0,-133849.0,81857.0,-319382.0,83778.0,6856968.0,163220.0,-36034.0,-25954.0,2613.0,1676.0
3932,1711653693857,-180900.0,-126022.0,-133482.0,81912.0,-327227.0,77124.0,6733902.0,167434.0,-37279.0,-24154.0,2576.0,2101.0
3933,1711653693877,-170786.0,-136285.0,-135794.0,79181.0,-305581.0,75547.0,6799065.0,166401.0,-44640.0,-25759.0,1493.0,1300.0
3934,1711653693898,-166714.0,-50769.0,-142566.0,70957.0,-322041.0,80116.0,6725040.0,163580.0,-37518.0,-23391.0,379.0,1757.0
3935,1711653693917,-177343.0,-84224.0,-128573.0,63875.0,-315059.0,82943.0,6689725.0,164368.0,-38995.0,-27947.0,2557.0,1884.0
3936,1711653693938,-160509.0,-83261.0,-131444.0,74299.0,-331689.0,83024.0,6858202.0,162591.0,-37108.0,-25955.0,521.0,1352.0
3937,1711653693958,-156302.0,-84370.0,-140133.0,66324.0,-314931.0,83396.0,6539068.0,163943.0,-40072.0,-20250.0,990.0,1527.0
3938,1711653693977,-155309.0,-69551.0,-147063.0,65427.0,-312492.0,74203.0,6822213.0,164169.0,-43408.0,-28694.0,2526.0,2039.0
3939,1711653693997,-150679.0,-107330.0,-140834.0,70039.0,-322917.0,86009.0,6665493.0,164644.0,-37406.0,-25529.0,1691.0,2660.0
3940,1711653694017,-165864.0,-100670.0,-137920.0,61619.0,-303834.0,83902.0,6803883.0,163006.0,-39864.0,-24635.0,1480.0,981.0
3941,1711653694038,-148751.0,-53019.0,-148848.0,66004.0,-322184.0,82251.0,6685991.0,162270.0,-40093.0,-25126.0,1806.0,3324.0
3942,1711653694057,-154408.0,-50959.0,-141262.0,81767.0,-330498.0,87202.0,6781984.0,160462.0,-38289.0,-24587.0,1099.0,1996.0
3943,1711653694077,-142783.0,-100468.0,-139115.0,72556.0,-310239.0,86924.0,6751677.0,168201.0,-37487.0,-25017.0,2359.0,860.0
3944,1711653694097,-148987.0,-101148.0,-142855.0,66730.0,-326873.0,83197.0,6722002.0,164911.0,-41872.0,-25628.0,1946.0,1536.0
3945,1711653694117,-117497.0,-120678.0,-118459.0,78949.0,-308551.0,82744.0,6655745.0,160439.0,-38293.0,-22987.0,1611.0,2380.0
3946,1711653694137,-171447.0,-53252.0,-129643.0,79287.0,-324651.0,89761.0,6681343.0,164495.0,-40686.0,-23012.0,1117.0,2449.0
3947,1711653694157,-171608.0,-120386.0,-134544.0,93156.0,-310726.0,84501.0,6747719.0,167353.0,-39038.0,-25337.0,2756.0,1964.0
3948,1711653694178,-177265.0,-103806.0,-118702.0,89700.0,-319310.0,84676.0,6652737.0,163320.0,-39215.0,-25582.0,1522.0,1459.0
3949,1711653694198,-169731.0,-86679.0,-129668.0,83563.0,-323792.0,81543.0,6712945.0,163173.0,-35863.0,-24396.0,-3.0,847.0
3950,1711653694218,-179547.0,-96098.0,-125091.0,91201.0,-296305.0,85950.0,6706779.0,168676.0,-42548.0,-25805.0,1502.0,2414.0
3951,1711653694237,-175351.0,-140056.0,-123629.0,89116.0,-323990.0,80749.0,6697720.0,163406.0,-37726.0,-28043.0,1403.0,2529.0
3952,1711653694258,-170435.0,-102373.0,-131077.0,90506.0,-304637.0,87930.0,6797194.0,166090.0,-41564.0,-26010.0,1918.0,881.0
3953,1711653694278,-166978.0,-96104.0,-129249.0,76966.0,-316610.0,82946.0,6865396.0,166075.0,-37465.0,-26345.0,1521.0,1930.0
3954,1711653694298,-170675.0,-102366.0,-149040.0,74867.0,-299532.0,76535.0,6844759.0,167097.0,-38179.0,-26037.0,1607.0,2378.0
3955,1711653694318,-165389.0,-93020.0,-141691.0,68093.0,-299405.0,87800.0,6453657.0,163086.0,-37108.0,-27974.0,1254.0,2365.0
3956,1711653694337,-169371.0,-17410.0,-122906.0,70563.0,-311580.0,86788.0,6649032.0,169448.0,-39103.0,-26174.0,1645.0,1707.0
3957,1711653694357,-183572.0,-88591.0,-140844.0,79926.0,-295423.0,89395.0,6759573.0,168207.0,-41782.0,-22652.0,2067.0,1874.0
3958,1711653694377,-166041.0,-163322.0,-148568.0,72884.0,-316058.0,82086.0,6715004.0,167869.0,-41763.0,-25262.0,1030.0,2293.0
3959,1711653694397,-177632.0,-156305.0,-141939.0,77769.0,-323056.0,85531.0,6788574.0,160234.0,-37431.0,-26469.0,1108.0,2095.0
3960,1711653694418,-167744.0,-106216.0,-142052.0,78483.0,-315666.0,87745.0,7024403.0,162701.0,-40282.0,-27272.0,1791.0,1689.0
3961,1711653694438,-178392.0,-123421.0,-142576.0,84901.0,-325803.0,83064.0,6741674.0,169821.0,-41673.0,-21575.0,-211.0,1757.0
3962,1711653694458,-178408.0,-65141.0,-122282.0,77645.0,-307055.0,79936.0,6742316.0,164815.0,-39100.0,-24083.0,1282.0,2532.0
3963,1711653694477,-163328.0,-74520.0,-132564.0,96077.0,-315890.0,86521.0,6748886.0,164442.0,-27031.0,-28784.0,1670.0,1825.0
3964,1711653694497,-181279.0,-90341.0,-136546.0,88529.0,-325586.0,89984.0,6642522.0,166702.0,-32204.0,-22478.0,1406.0,2722.0
3965,1711653694517,-169392.0,-138038.0,-157727.0,83868.0,-315403.0,84212.0,6687327.0,160454.0,-33204.0,-27093.0,1372.0,196.0
3966,1711653694538,-178836.0,-108633.0,-139193.0,76900.0,-319788.0,75780.0,6518140.0,162313.0,-39463.0,-25014.0,847.0,2020.0
3967,1711653694557,-175535.0,-90884.0,-148528.0,79168.0,-327268.0,80492.0,6938808.0,160371.0,-41072.0,-27145.0,1989.0,1721.0
