Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),micros (),CZL635 (),Degraw (),TAL220 ()
210,1697377428838,2820786.0,672541.0,-699337.0,-937359.0
211,1697377428838,2821821.0,669667.0,-700605.0,-939569.0
212,1697377428840,2822857.0,667485.0,-694260.0,-944244.0
213,1697377428840,2823892.0,671470.0,-695090.0,-945734.0
214,1697377428841,2824927.0,666419.0,-698372.0,-943454.0
215,1697377428843,2825963.0,669448.0,-699939.0,-951233.0
216,1697377428843,2826998.0,668739.0,-696612.0,-945979.0
217,1697377428845,2828033.0,664796.0,-700310.0,-945546.0
218,1697377428845,2829069.0,666846.0,-698729.0,-948924.0
219,1697377428846,2830104.0,668368.0,-697737.0,-948125.0
220,1697377428847,2831139.0,663705.0,-700420.0,-955663.0
221,1697377428848,2832175.0,664560.0,-701109.0,-949784.0
222,1697377428850,2833210.0,660903.0,-698201.0,-955654.0
223,1697377428850,2834245.0,664070.0,-702456.0,-951694.0
224,1697377428851,2835280.0,662090.0,-700369.0,-948302.0
225,1697377428852,2836316.0,663471.0,-697908.0,-945566.0
226,1697377428854,2837351.0,671498.0,-698046.0,-942992.0
227,1697377428854,2838386.0,667302.0,-696584.0,-945737.0
228,1697377428855,2839422.0,672871.0,-698426.0,-943141.0
229,1697377428856,2840457.0,671996.0,-697742.0,-945068.0
230,1697377428858,2841492.0,669659.0,-690230.0,-943141.0
231,1697377428858,2842528.0,670398.0,-697461.0,-935190.0
232,1697377428860,2843563.0,668188.0,-696682.0,-943586.0
233,1697377428862,2844598.0,667319.0,-701041.0,-944387.0
234,1697377428862,2845634.0,670286.0,-698395.0,-943726.0
235,1697377428863,2846669.0,667170.0,-701978.0,-947194.0
236,1697377428863,2847704.0,667437.0,-699354.0,-946362.0
237,1697377428865,2848739.0,666686.0,-701669.0,-949267.0
238,1697377428866,2849775.0,661421.0,-696749.0,-950170.0
239,1697377428866,2850810.0,662405.0,-696316.0,-949422.0
240,1697377428868,2851846.0,664740.0,-705111.0,-953849.0
241,1697377428870,2852881.0,660150.0,-698971.0,-955581.0
242,1697377428870,2853916.0,662543.0,-699160.0,-947245.0
243,1697377428871,2854951.0,664695.0,-696811.0,-950122.0
244,1697377428872,2855986.0,671208.0,-694823.0,-945777.0
245,1697377428874,2857022.0,671768.0,-698777.0,-945923.0
246,1697377428875,2858057.0,673093.0,-699936.0,-942056.0
247,1697377428875,2859093.0,672136.0,-696319.0,-940829.0
248,1697377428876,2860128.0,670502.0,-696176.0,-943670.0
249,1697377428877,2861163.0,677790.0,-697900.0,-947436.0
250,1697377428879,2862198.0,670351.0,-692469.0,-940334.0
251,1697377428879,2863234.0,671203.0,-694716.0,-942809.0
252,1697377428880,2864269.0,672986.0,-698583.0,-944550.0
253,1697377428882,2865304.0,675506.0,-695253.0,-948406.0
254,1697377428883,2866340.0,670111.0,-695352.0,-946244.0
255,1697377428885,2867375.0,668033.0,-695473.0,-949070.0
256,1697377428885,2868410.0,666126.0,-696699.0,-947630.0
257,1697377428887,2869446.0,662535.0,-696699.0,-948375.0
258,1697377428887,2870481.0,660425.0,-703553.0,-954799.0
259,1697377428888,2871516.0,660560.0,-696089.0,-951812.0
260,1697377428889,2872552.0,666616.0,-698924.0,-947568.0
261,1697377428890,2873587.0,666078.0,-702265.0,-953269.0
262,1697377428890,2874622.0,664503.0,-698057.0,-948766.0
263,1697377428891,2875658.0,667760.0,-696502.0,-943524.0
264,1697377428892,2876693.0,669268.0,-694592.0,-947245.0
265,1697377428893,2877728.0,665887.0,-696058.0,-950381.0
266,1697377428895,2878764.0,666118.0,-694075.0,-945479.0
