Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),micros (),635 (),Degraw (),tal ()
337,1697378860840,8.4345056E8,637814.0,-733335.0,-964986.0
338,1697378860953,8.4356371E8,639060.0,-733597.0,-964448.0
339,1697378861068,8.4367686E8,638095.0,-733491.0,-964122.0
340,1697378861181,8.4379008E8,637943.0,-733550.0,-965341.0
341,1697378861293,8.4390323E8,638694.0,-733539.0,-964925.0
342,1697378861406,8.4401638E8,637745.0,-733457.0,-964782.0
343,1697378861519,8.441296E8,638326.0,-733737.0,-965157.0
344,1697378861633,8.4424275E8,638872.0,-733322.0,-964412.0
345,1697378861745,8.443559E8,638573.0,-733406.0,-964414.0
346,1697378861858,8.4446906E8,637844.0,-733653.0,-964841.0
347,1697378861973,8.4458227E8,638423.0,-733472.0,-964666.0
348,1697378862085,8.4469542E8,637803.0,-733485.0,-964823.0
349,1697378862198,8.4480858E8,637725.0,-733903.0,-964955.0
350,1697378862312,8.4492173E8,638993.0,-733262.0,-964718.0
351,1697378862425,8.4503488E8,637761.0,-733610.0,-964585.0
352,1697378862538,8.451481E8,638032.0,-733327.0,-965089.0
353,1697378862651,8.4526125E8,638348.0,-732961.0,-964551.0
354,1697378862765,8.453744E8,638038.0,-733864.0,-964402.0
355,1697378862877,8.4548755E8,638334.0,-733458.0,-964805.0
356,1697378862990,8.4560077E8,638542.0,-733291.0,-964632.0
357,1697378863103,8.4571392E8,637933.0,-733706.0,-964511.0
358,1697378863216,8.4582707E8,638365.0,-733383.0,-964938.0
359,1697378863329,8.4594022E8,638577.0,-732939.0,-964786.0
360,1697378863443,8.4605344E8,637875.0,-733461.0,-964794.0
361,1697378863556,8.4616659E8,638090.0,-733566.0,-965151.0
362,1697378863669,8.4627974E8,638621.0,-733207.0,-964272.0
363,1697378863784,8.463929E8,637587.0,-733406.0,-964612.0
364,1697378863896,8.4650605E8,637947.0,-733424.0,-965230.0
365,1697378864008,8.4661926E8,638422.0,-732680.0,-964604.0
366,1697378864122,8.4673242E8,637465.0,-733317.0,-964860.0
367,1697378864236,8.4684557E8,638176.0,-733156.0,-965378.0
368,1697378864348,8.4695872E8,638205.0,-733278.0,-964476.0
369,1697378864462,8.4707194E8,637856.0,-733420.0,-964787.0
370,1697378864575,8.4718509E8,638243.0,-733676.0,-965148.0
371,1697378864688,8.4729824E8,637792.0,-733163.0,-964867.0
372,1697378864801,8.4741146E8,638065.0,-734180.0,-964168.0
373,1697378864914,8.4752461E8,638134.0,-733217.0,-964805.0
374,1697378865027,8.4763776E8,638241.0,-733560.0,-964521.0
375,1697378865141,8.4775091E8,637855.0,-733255.0,-965103.0
376,1697378865255,8.4786413E8,638380.0,-732993.0,-964618.0
