Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),time (),reading ()
328,1702665121101,5.3791296E8,131.66107
329,1702665121101,5.3791328E8,130.98386
330,1702665121101,5.379136E8,129.42755
331,1702665121103,5.3791398E8,130.38176
332,1702665121103,5.379143E8,130.4819
333,1702665121103,5.3791469E8,129.15152
334,1702665121103,5.3791501E8,130.89395
335,1702665121103,5.3791533E8,129.81192
336,1702665121103,5.3791571E8,129.83698
337,1702665121105,5.3791603E8,129.38145
338,1702665121105,5.3791642E8,128.64594
339,1702665121105,5.3791674E8,129.73883
340,1702665121105,5.3791706E8,130.696
341,1702665121106,5.3791744E8,132.95357
342,1702665121106,5.3791776E8,131.23221
343,1702665121106,5.3791814E8,132.14856
344,1702665121107,5.3791846E8,130.56061
345,1702665121107,5.3791878E8,131.13045
346,1702665121107,5.3791917E8,132.54875
347,1702665121109,5.3791949E8,132.39197
348,1702665121109,5.3791987E8,132.11494
349,1702665121109,5.3792019E8,133.72891
350,1702665121109,5.3792051E8,133.9967
351,1702665121109,5.379209E8,135.28226
352,1702665121109,5.3792122E8,132.89032
353,1702665121111,5.379216E8,133.11198
354,1702665121111,5.3792192E8,134.45619
355,1702665121111,5.3792224E8,133.53163
356,1702665121111,5.3792262E8,135.5204
357,1702665121111,5.3792294E8,134.43642
358,1702665121112,5.3792333E8,135.30005
359,1702665121112,5.3792365E8,135.01845
360,1702665121112,5.3792397E8,136.05136
361,1702665121113,5.3792435E8,133.56192
362,1702665121113,5.3792467E8,134.82838
363,1702665121113,5.3792499E8,134.81818
364,1702665121113,5.3792538E8,135.77336
365,1702665121113,5.379257E8,133.06555
366,1702665121115,5.3792608E8,133.73352
367,1702665121115,5.379264E8,133.80862
368,1702665121115,5.3792672E8,133.58069
369,1702665121115,5.379271E8,133.52602
370,1702665121115,5.3792742E8,134.43279
371,1702665121115,5.3792781E8,131.38802
372,1702665121116,5.3792813E8,132.96838
373,1702665121116,5.3792845E8,132.75693
374,1702665121118,5.3792883E8,131.86397
375,1702665121118,5.3792915E8,132.53557
376,1702665121118,5.3792954E8,130.63112
377,1702665121118,5.3792986E8,129.9852
378,1702665121118,5.3793018E8,132.39493
