Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),time (),reading ()
374,1702661974769,4.63195168E8,125.181786
375,1702661974771,4.6319552E8,127.70796
376,1702661974771,4.6319584E8,124.450966
377,1702661974771,4.63196192E8,125.887405
378,1702661974771,4.63196544E8,124.6117
379,1702661974771,4.63196896E8,122.66009
380,1702661974773,4.63197248E8,127.48734
381,1702661974773,4.63197568E8,122.8068
382,1702661974773,4.6319792E8,125.15995
383,1702661974773,4.63198272E8,124.39609
384,1702661974773,4.63198624E8,125.45115
385,1702661974773,4.63198976E8,122.77375
386,1702661974774,4.63199296E8,123.833305
387,1702661974774,4.63199648E8,123.49336
388,1702661974774,4.632E8,122.69313
389,1702661974775,4.63200352E8,123.98955
390,1702661974775,4.63200704E8,124.916916
391,1702661974775,4.63201024E8,123.050964
392,1702661974777,4.63201376E8,118.65825
393,1702661974777,4.63201728E8,123.17697
394,1702661974777,4.6320208E8,125.73284
395,1702661974777,4.63202432E8,122.49935
396,1702661974777,4.63202752E8,121.78591
397,1702661974778,4.63203104E8,123.16744
398,1702661974778,4.63203456E8,124.257225
399,1702661974778,4.63203808E8,123.244736
400,1702661974780,4.6320416E8,122.32295
401,1702661974780,4.6320448E8,125.319
402,1702661974780,4.63204832E8,123.0112
403,1702661974780,4.63205184E8,125.20084
404,1702661974780,4.63205536E8,123.85737
405,1702661974780,4.63205856E8,124.04161
406,1702661974780,4.63206208E8,122.84152
407,1702661974780,4.6320656E8,123.12151
408,1702661974781,4.63206912E8,121.26173
409,1702661974781,4.63207264E8,123.332664
410,1702661974781,4.63207584E8,123.08233
411,1702661974782,4.63207936E8,126.12372
412,1702661974782,4.63208288E8,124.59603
413,1702661974784,4.6320864E8,123.086815
414,1702661974784,4.63208992E8,125.94396
415,1702661974784,4.63209312E8,125.54075
416,1702661974784,4.63209664E8,128.44495
417,1702661974784,4.63210016E8,124.629074
418,1702661974784,4.63210368E8,123.71233
419,1702661974785,4.6321072E8,123.54546
420,1702661974785,4.6321104E8,125.77538
421,1702661974785,4.63211392E8,124.23649
422,1702661974787,4.63211744E8,124.57866
423,1702661974787,4.63212096E8,125.147064
424,1702661974787,4.63212416E8,124.82899
425,1702661974787,4.63212768E8,125.896935
426,1702661974787,4.6321312E8,126.90942
427,1702661974787,4.63213472E8,123.455284
428,1702661974788,4.63213824E8,123.54211
429,1702661974788,4.63214144E8,127.36638
430,1702661974788,4.63214496E8,122.80848
431,1702661974790,4.63214848E8,124.77692
432,1702661974790,4.632152E8,127.227486
433,1702661974790,4.63215552E8,123.110886
434,1702661974790,4.63215872E8,124.1861
435,1702661974790,4.63216224E8,122.76423
436,1702661974790,4.63216576E8,123.61769
437,1702661974792,4.63216928E8,122.87289
438,1702661974792,4.6321728E8,125.62922
439,1702661974792,4.632176E8,122.40526
440,1702661974792,4.63217952E8,123.35169
441,1702661974793,4.63218304E8,122.07262
442,1702661974793,4.63218656E8,121.38773
443,1702661974793,4.63219008E8,122.487045
444,1702661974795,4.63219328E8,122.79727
445,1702661974795,4.6321968E8,124.85251
446,1702661974795,4.63220032E8,126.470375
447,1702661974795,4.63220384E8,124.75505
448,1702661974795,4.63220736E8,120.973335
449,1702661974795,4.63221056E8,122.310646
450,1702661974796,4.63221408E8,122.67575
451,1702661974796,4.6322176E8,124.151955
452,1702661974796,4.63222112E8,125.823
453,1702661974797,4.63222432E8,121.430305
454,1702661974797,4.63222784E8,121.36535
455,1702661974797,4.63223136E8,120.75604
456,1702661974799,4.63223488E8,121.12622
457,1702661974799,4.6322384E8,120.48668
458,1702661974799,4.6322416E8,122.425446
459,1702661974799,4.63224512E8,122.20199
460,1702661974799,4.63224864E8,124.21801
461,1702661974800,4.63225216E8,123.32033
462,1702661974800,4.63225568E8,123.31696
463,1702661974800,4.63225888E8,123.27271
464,1702661974800,4.6322624E8,122.504395
465,1702661974800,4.63226592E8,123.05209
466,1702661974801,4.63226944E8,122.479195
467,1702661974801,4.63227296E8,123.720184
468,1702661974801,4.63227616E8,122.2871
469,1702661974802,4.63227968E8,124.04946
470,1702661974802,4.6322832E8,123.26658
471,1702661974802,4.63228672E8,123.80698
472,1702661974804,4.63229024E8,124.06177
473,1702661974804,4.63229344E8,125.89861
474,1702661974804,4.63229696E8,124.83684
475,1702661974804,4.63230048E8,124.61451
476,1702661974804,4.632304E8,126.80075
477,1702661974804,4.6323072E8,122.21265
478,1702661974805,4.63231072E8,122.67575
479,1702661974805,4.63231424E8,127.12054
480,1702661974807,4.63231776E8,125.613556
481,1702661974807,4.63232128E8,126.98332
482,1702661974807,4.63232448E8,127.81381
483,1702661974807,4.632328E8,123.75323
484,1702661974807,4.63233152E8,121.40789
485,1702661974807,4.63233504E8,125.27643
486,1702661974809,4.63233856E8,126.61373
487,1702661974809,4.63234176E8,125.72668
488,1702661974809,4.63234528E8,125.243385
489,1702661974809,4.6323488E8,125.13475
490,1702661974809,4.63235232E8,126.43061
491,1702661974809,4.63235584E8,125.419785
492,1702661974810,4.63235904E8,124.03993
493,1702661974810,4.63236256E8,124.2841
494,1702661974810,4.63236608E8,125.86389
495,1702661974812,4.6323696E8,124.07466
496,1702661974812,4.63237312E8,122.20031
497,1702661974812,4.63237632E8,124.48065
498,1702661974812,4.63237984E8,119.837616
499,1702661974812,4.63238336E8,125.175644
500,1702661974813,4.63238688E8,123.20216
501,1702661974813,4.6323904E8,124.94883
502,1702661974815,4.6323936E8,121.70583
503,1702661974815,4.63239712E8,121.75005
504,1702661974815,4.63240064E8,121.554634
505,1702661974815,4.63240416E8,120.35114
506,1702661974815,4.63240736E8,124.68732
507,1702661974815,4.63241088E8,123.75768
508,1702661974816,4.6324144E8,122.40639
509,1702661974816,4.63241792E8,123.56898
510,1702661974816,4.63242144E8,123.56449
511,1702661974817,4.63242464E8,121.711975
512,1702661974817,4.63242816E8,119.71164
513,1702661974817,4.63243168E8,122.109024
514,1702661974818,4.6324352E8,122.83199
515,1702661974818,4.63243872E8,122.48087
516,1702661974818,4.63244192E8,124.54225
517,1702661974821,4.63244544E8,122.425446
518,1702661974821,4.63244896E8,120.868065
519,1702661974821,4.63245248E8,125.08269
520,1702661974821,4.632456E8,122.29608
521,1702661974821,4.6324592E8,122.41424
522,1702661974821,4.63246272E8,122.35768
523,1702661974821,4.63246624E8,118.960655
524,1702661974822,4.63246976E8,121.94496
525,1702661974822,4.63247296E8,121.950005
526,1702661974822,4.63247648E8,121.03158
527,1702661974824,4.63248E8,123.92513
528,1702661974824,4.63248352E8,124.29531
529,1702661974824,4.63248704E8,122.41928
530,1702661974824,4.63249024E8,125.15995
531,1702661974824,4.63249376E8,124.73603
532,1702661974824,4.63249728E8,125.63539
533,1702661974826,4.6325008E8,126.971016
534,1702661974826,4.63250432E8,124.57084
535,1702661974826,4.63250752E8,124.80825
536,1702661974826,4.63251104E8,125.288765
537,1702661974826,4.63251456E8,125.994354
538,1702661974826,4.63251808E8,129.8472
539,1702661974828,4.6325216E8,124.644745
540,1702661974828,4.6325248E8,123.23185
541,1702661974828,4.63252832E8,123.25873
542,1702661974828,4.63253184E8,125.852684
543,1702661974828,4.63253536E8,123.462
544,1702661974829,4.63253888E8,122.19862
545,1702661974829,4.63254208E8,125.093315
546,1702661974829,4.6325456E8,126.048134
547,1702661974830,4.63254912E8,123.094635
548,1702661974830,4.63255264E8,124.85419
549,1702661974830,4.63255616E8,124.72036
550,1702661974830,4.63255936E8,125.060265
551,1702661974830,4.63256288E8,123.597534
552,1702661974832,4.6325664E8,123.119835
553,1702661974832,4.63256992E8,122.268074
554,1702661974832,4.63257312E8,123.27607
555,1702661974832,4.63257664E8,122.62536
556,1702661974834,4.63258016E8,125.12523
557,1702661974834,4.63258368E8,126.81981
558,1702661974834,4.6325872E8,122.46185
559,1702661974834,4.6325904E8,124.78196
560,1702661974834,4.63259392E8,119.135376
561,1702661974834,4.63259744E8,124.33898
562,1702661974835,4.63260096E8,122.63321
563,1702661974835,4.63260448E8,122.84152
564,1702661974835,4.63260768E8,123.499535
565,1702661974837,4.6326112E8,124.86988
566,1702661974837,4.63261472E8,123.50121
567,1702661974837,4.63261824E8,123.578476
568,1702661974837,4.63262176E8,123.14393
569,1702661974837,4.63262496E8,124.47452
570,1702661974837,4.63262848E8,124.62404
571,1702661974838,4.632632E8,123.4004
572,1702661974838,4.63263552E8,122.151596
573,1702661974838,4.63263872E8,121.696304
574,1702661974840,4.63264224E8,121.554634
575,1702661974840,4.63264576E8,122.77375
576,1702661974840,4.63264928E8,122.47248
577,1702661974840,4.6326528E8,121.62237
578,1702661974840,4.632656E8,120.46765
579,1702661974841,4.63265952E8,126.61486
580,1702661974841,4.63266304E8,125.35651
581,1702661974841,4.63266656E8,123.27271
582,1702661974841,4.63267008E8,123.52024
583,1702661974841,4.63267328E8,122.99272
584,1702661974842,4.6326768E8,123.3377
585,1702661974842,4.63268032E8,126.01955
586,1702661974842,4.63268384E8,125.52059
587,1702661974844,4.63268736E8,125.87339
588,1702661974844,4.63269056E8,125.870026
589,1702661974844,4.63269408E8,121.597176
590,1702661974844,4.6326976E8,126.74084
591,1702661974844,4.63270112E8,125.20084
592,1702661974844,4.63270464E8,125.47634
593,1702661974846,4.63270784E8,123.70617
594,1702661974846,4.63271136E8,125.60403
595,1702661974846,4.63271488E8,123.25705
596,1702661974846,4.6327184E8,124.10434
597,1702661974846,4.63272192E8,125.26186
598,1702661974846,4.63272512E8,125.05242
599,1702661974848,4.63272864E8,127.79143
600,1702661974848,4.63273216E8,122.11855
601,1702661974848,4.63273568E8,128.38557
602,1702661974848,4.6327392E8,126.83548
603,1702661974848,4.6327424E8,125.53797
604,1702661974849,4.63274592E8,121.84415
605,1702661974849,4.63274944E8,124.70915
606,1702661974849,4.63275296E8,125.64773
607,1702661974851,4.63275616E8,129.85165
608,1702661974851,4.63275968E8,123.747055
609,1702661974851,4.6327632E8,123.5673
610,1702661974851,4.63276672E8,124.96617
611,1702661974852,4.63277024E8,121.5703
612,1702661974852,4.63277344E8,122.48872
613,1702661974852,4.63277696E8,123.91225
614,1702661974853,4.63278048E8,123.14057
615,1702661974853,4.632784E8,123.67929
616,1702661974853,4.63278752E8,123.88369
617,1702661974855,4.63279072E8,126.567795
618,1702661974855,4.63279424E8,123.04311
619,1702661974855,4.63279776E8,123.18146
620,1702661974855,4.63280128E8,125.014915
621,1702661974855,4.6328048E8,120.51804
622,1702661974855,4.632808E8,124.03825
623,1702661974856,4.63281152E8,123.43176
624,1702661974856,4.63281504E8,123.436806
625,1702661974856,4.63281856E8,122.56095
626,1702661974858,4.63282176E8,122.661766
627,1702661974858,4.63282528E8,122.00039
628,1702661974858,4.6328288E8,123.69163
629,1702661974858,4.63283232E8,122.751366
630,1702661974858,4.63283584E8,125.1678
631,1702661974858,4.63283904E8,122.41424
632,1702661974859,4.63284256E8,120.55723
633,1702661974859,4.63284608E8,122.75641
634,1702661974859,4.6328496E8,121.38101
635,1702661974860,4.63285312E8,122.371666
636,1702661974860,4.63285632E8,121.31046
637,1702661974860,4.63285984E8,125.72331
638,1702661974860,4.63286336E8,121.431404
639,1702661974861,4.63286688E8,124.42577
640,1702661974861,4.6328704E8,125.24171
641,1702661974861,4.6328736E8,126.23684
642,1702661974863,4.63287712E8,124.1452
643,1702661974863,4.63288064E8,123.11537
644,1702661974863,4.63288416E8,123.77058
645,1702661974863,4.63288768E8,121.45999
646,1702661974863,4.63289088E8,121.942154
647,1702661974863,4.6328944E8,123.4525
648,1702661974864,4.63289792E8,122.99386
649,1702661974864,4.63290144E8,121.69967
650,1702661974864,4.63290496E8,123.95482
651,1702661974866,4.63290816E8,126.07501
652,1702661974866,4.63291168E8,124.848015
653,1702661974866,4.6329152E8,123.43344
